id	name	region	lat	lon	bortle	direction_notes	review_status	source
1	大武崙砲台	基隆市安樂區	25.1594	121.7081	5	南面偏東 / 古蹟砲台堡壘與星空呼應	needs_review	user_provided_2026-06-13
2	不厭亭	新北市瑞芳區	25.0906	121.8481	4	東南方 / 經典寂寞公路延伸至銀河核心	needs_review	user_provided_2026-06-13
3	鼻頭角步道（燈塔）	新北市瑞芳區	25.1292	121.9239	4	東南至南方 / 白色燈塔與太平洋海銀河	needs_review	user_provided_2026-06-13
4	三貂角燈塔	新北市貢寮區	25.0078	122.0014	4	南南方 / 台灣極東點燈塔地景，需避開燈塔強光	needs_review	user_provided_2026-06-13
5	南雅奇岩	新北市瑞芳區	25.1206	121.8906	4	東南方 / 獨特海蝕風化岩石作為前景（需地景補光）	needs_review	user_provided_2026-06-13
6	鷹石尖（已封閉，周邊觀景點）	宜蘭縣頭城鎮	24.9453	121.8942	4	東南面 / 俯瞰蜜月灣與太平洋星空	needs_review	user_provided_2026-06-13
7	草嶺古道（埡口涼亭）	新北市貢寮區	24.9881	121.9367	4	南方 / 埡口山谷與虎字碑人文星景	needs_review	user_provided_2026-06-13
8	淡水福容飯店旁情人橋	新北市淡水區	25.1828	121.4111	7	西南方 / 城市高光害挑戰，適合冬春拍獵戶座與橋體	needs_review	user_provided_2026-06-13
9	瑞芳茶壺山步道	新北市瑞芳區	25.1094	121.8625	4	南方 / 涼亭與奇特岩峰，俯瞰陰陽海夜景與星空	needs_review	user_provided_2026-06-13
10	平溪十分國小（開闊處）	新北市平溪區	25.0428	121.7764	5	天頂 / 適合 SeeStar 進行深空天體窄頻拍攝	needs_review	user_provided_2026-06-13
11	拉拉山神木區入口	桃園市復興區	24.7042	121.4383	3	南方 / 高海拔巨木剪影與璀璨銀河	needs_review	user_provided_2026-06-13
12	巴陵舊橋	桃園市復興區	24.6811	121.3986	3	東南方 / 紅色拱橋與大漢溪谷星空	needs_review	user_provided_2026-06-13
13	東眼山國家森林遊樂區	桃園市復興區	24.8272	121.4117	4	南南方 / 林道柳杉木頂部星空（赤道儀追星點）	needs_review	user_provided_2026-06-13
14	雪霧鬧部落（高海拔農場）	桃園市復興區	24.7264	121.3789	3	南方 / 梯田地景，北面靠山阻擋桃園光害	needs_review	user_provided_2026-06-13
15	觀音草漯沙丘	桃園市觀音區	25.0617	121.1322	5	西南面 / 巨大風力發電風車與沙丘荒涼感	needs_review	user_provided_2026-06-13
16	新竹宇老觀景台	新竹縣尖石鄉	24.6625	121.2844	3	東南方 / 俯瞰那羅部落燈火與遠方山脈銀河	needs_review	user_provided_2026-06-13
